eightd_has_key_dispenser,station_type,electric_bike_surcharge_waiver,lat,lon,capacity,has_kiosk,short_name,name,externalId,stationId,legacyId,address
false,classic,false,41.949923,-87.713949,11,true,18016,Bernard St & Elston Ave,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.883073,-87.656952,11,true,654,Racine Ave & Washington Blvd,a3b4728f-a135-11e9-9cda-0a87ae2ba916,a3b4728f-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.887664,-87.765469,11,true,16905,Central Ave & Lake St,a3b11993-a135-11e9-9cda-0a87ae2ba916,a3b11993-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.8481,-87.715068,11,true,15687,Central Park Ave & 24th St,a3add889-a135-11e9-9cda-0a87ae2ba916,a3add889-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.956057,-87.668835,11,true,13249,Ashland Ave & Belle Plaine Ave,a3a88a6d-a135-11e9-9cda-0a87ae2ba916,a3a88a6d-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.7045750872071,-87.52823173999786,11,true,20222,Burnham Greenway & 105th St,c1f104db-9ee7-4999-bd4a-ddd766c75e04,c1f104db-9ee7-4999-bd4a-ddd766c75e04,undefined,undefined
false,classic,false,41.920082,-87.677855,11,true,13288,Damen Ave & Charleston St,a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,42.0082,-87.70461,11,true,24149,Sacramento Ave & Lunt Ave,1936566008041245278,1936566008041245278,undefined,undefined
false,classic,false,41.744531,-87.56506,11,true,582,Phillips Ave & 83rd St,a3b29a90-a135-11e9-9cda-0a87ae2ba916,a3b29a90-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.751173,-87.585337,11,true,577,Stony Island Ave & South Chicago Ave,a3b2810e-a135-11e9-9cda-0a87ae2ba916,a3b2810e-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
